===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 19 ,3/14/2022 8:36:59 AM , 0 ,3/14/2022 8:37:19 AM , 98 ,3/14/2022 8:37:39 AM , 0 ,3/14/2022 8:37:59 AM , 0 ,3/14/2022 8:38:19 AM , 0 ,3/14/2022 8:38:39 AM , 222 ,3/14/2022 8:38:59 AM , 3 ,3/14/2022 8:39:19 AM , 266 ,3/14/2022 8:39:39 AM , 918 ,3/14/2022 8:39:59 AM , 3 ,3/14/2022 8:40:19 AM , 2 ,3/14/2022 8:40:39 AM , 1 ,3/14/2022 8:40:59 AM , 235 ,3/14/2022 8:41:19 AM , 2 ,3/14/2022 8:41:39 AM , 0 ,3/14/2022 8:41:59 AM , 289 ,
 20 ,3/14/2022 8:42:39 AM , 3 ,3/14/2022 8:42:59 AM , 312 ,3/14/2022 8:43:19 AM , 17 ,3/14/2022 8:43:39 AM , 77 ,3/14/2022 8:43:59 AM , 0 ,3/14/2022 8:44:19 AM , 169 ,3/14/2022 8:44:39 AM , 45 ,3/14/2022 8:44:59 AM , 355 ,3/14/2022 8:45:19 AM , 1667 ,3/14/2022 8:45:39 AM , 88 ,3/14/2022 8:45:59 AM , 3 ,3/14/2022 8:46:19 AM , 1 ,3/14/2022 8:46:39 AM , 196 ,3/14/2022 8:46:59 AM , 3 ,3/14/2022 8:47:19 AM , 0 ,3/14/2022 8:47:39 AM , 39 ,
 21 ,3/14/2022 8:48:19 AM , 0 ,3/14/2022 8:48:39 AM , 319 ,3/14/2022 8:48:59 AM , 0 ,3/14/2022 8:49:19 AM , 17 ,3/14/2022 8:49:39 AM , 0 ,3/14/2022 8:49:59 AM , 431 ,3/14/2022 8:50:19 AM , 94 ,3/14/2022 8:50:39 AM , 327 ,3/14/2022 8:50:59 AM , 1154 ,3/14/2022 8:51:19 AM , 11 ,3/14/2022 8:51:39 AM , 0 ,3/14/2022 8:51:59 AM , 0 ,3/14/2022 8:52:19 AM , 240 ,3/14/2022 8:52:39 AM , 1 ,3/14/2022 8:52:59 AM , 7 ,3/14/2022 8:53:19 AM , 62 ,
 22 ,3/14/2022 8:53:59 AM , 1 ,3/14/2022 8:54:19 AM , 192 ,3/14/2022 8:54:39 AM , 2 ,3/14/2022 8:54:59 AM , 15 ,3/14/2022 8:55:19 AM , 56 ,3/14/2022 8:55:39 AM , 23 ,3/14/2022 8:55:59 AM , 6 ,3/14/2022 8:56:19 AM , 511 ,3/14/2022 8:56:39 AM , 1340 ,3/14/2022 8:56:59 AM , 5 ,3/14/2022 8:57:19 AM , 1 ,3/14/2022 8:57:39 AM , 2 ,3/14/2022 8:57:59 AM , 0 ,3/14/2022 8:58:19 AM , 191 ,3/14/2022 8:58:39 AM , 0 ,3/14/2022 8:58:59 AM , 0 ,
 23 ,3/14/2022 8:59:39 AM , 8 ,3/14/2022 8:59:59 AM , 212 ,3/14/2022 9:00:19 AM , 0 ,3/14/2022 9:00:39 AM , 7 ,3/14/2022 9:00:59 AM , 60 ,3/14/2022 9:01:19 AM , 83 ,3/14/2022 9:01:39 AM , 0 ,3/14/2022 9:01:59 AM , 210 ,3/14/2022 9:02:19 AM , 1126 ,3/14/2022 9:02:39 AM , 16 ,3/14/2022 9:02:59 AM , 5 ,3/14/2022 9:03:19 AM , 4 ,3/14/2022 9:03:39 AM , 448 ,3/14/2022 9:03:59 AM , 133 ,3/14/2022 9:04:19 AM , 0 ,3/14/2022 9:04:39 AM , 1 ,
 24 ,3/14/2022 9:05:19 AM , 0 ,3/14/2022 9:05:39 AM , 301 ,3/14/2022 9:05:59 AM , 60 ,3/14/2022 9:06:19 AM , 40 ,3/14/2022 9:06:39 AM , 18 ,3/14/2022 9:06:59 AM , 0 ,3/14/2022 9:07:19 AM , 1 ,3/14/2022 9:07:39 AM , 420 ,3/14/2022 9:07:59 AM , 344 ,3/14/2022 9:08:19 AM , 0 ,3/14/2022 9:08:39 AM , 0 ,3/14/2022 9:08:59 AM , 3 ,3/14/2022 9:09:19 AM , 264 ,3/14/2022 9:09:39 AM , 0 ,3/14/2022 9:09:59 AM , 2 ,3/14/2022 9:10:19 AM , 204 ,
 25 ,3/14/2022 9:10:59 AM , 72 ,3/14/2022 9:11:19 AM , 108 ,3/14/2022 9:11:39 AM , 59 ,3/14/2022 9:11:59 AM , 2 ,3/14/2022 9:12:19 AM , 4 ,3/14/2022 9:12:39 AM , 0 ,3/14/2022 9:12:59 AM , 0 ,3/14/2022 9:13:19 AM , 241 ,3/14/2022 9:13:39 AM , 187 ,3/14/2022 9:13:59 AM , 6 ,3/14/2022 9:14:19 AM , 3 ,3/14/2022 9:14:39 AM , 10 ,3/14/2022 9:14:59 AM , 869 ,3/14/2022 9:15:19 AM , 0 ,3/14/2022 9:15:39 AM , 1 ,3/14/2022 9:15:59 AM , 0 ,
 26 ,3/14/2022 9:16:39 AM , 73 ,3/14/2022 9:16:59 AM , 55 ,3/14/2022 9:17:19 AM , 47 ,3/14/2022 9:17:39 AM , 30 ,3/14/2022 9:17:59 AM , 0 ,3/14/2022 9:18:19 AM , 2 ,3/14/2022 9:18:39 AM , 31 ,3/14/2022 9:18:59 AM , 319 ,3/14/2022 9:19:19 AM , 123 ,3/14/2022 9:19:39 AM , 2 ,3/14/2022 9:19:59 AM , 5 ,3/14/2022 9:20:19 AM , 5 ,3/14/2022 9:20:39 AM , 901 ,3/14/2022 9:20:59 AM , 0 ,3/14/2022 9:21:19 AM , 0 ,3/14/2022 9:21:39 AM , 0 ,
 27 ,3/14/2022 9:22:19 AM , 27 ,3/14/2022 9:22:39 AM , 1 ,3/14/2022 9:22:59 AM , 28 ,3/14/2022 9:23:19 AM , 0 ,3/14/2022 9:23:39 AM , 6 ,3/14/2022 9:23:59 AM , 0 ,3/14/2022 9:24:19 AM , 0 ,3/14/2022 9:24:39 AM , 310 ,3/14/2022 9:24:59 AM , 47 ,3/14/2022 9:25:19 AM , 7 ,3/14/2022 9:25:39 AM , 0 ,3/14/2022 9:25:59 AM , 0 ,3/14/2022 9:26:19 AM , 1084 ,3/14/2022 9:26:39 AM , 0 ,3/14/2022 9:26:59 AM , 3 ,3/14/2022 9:27:19 AM , 1 ,
 28 ,3/14/2022 9:27:59 AM , 0 ,3/14/2022 9:28:19 AM , 0 ,3/14/2022 9:28:39 AM , 0 ,3/14/2022 9:28:59 AM , 80 ,3/14/2022 9:29:19 AM , 1 ,3/14/2022 9:29:39 AM , 1 ,3/14/2022 9:29:59 AM , 2 ,3/14/2022 9:30:19 AM , 212 ,3/14/2022 9:30:39 AM , 13 ,3/14/2022 9:30:59 AM , 53 ,3/14/2022 9:31:19 AM , 0 ,3/14/2022 9:31:39 AM , 20 ,3/14/2022 9:31:59 AM , 505 ,3/14/2022 9:32:19 AM , 0 ,3/14/2022 9:32:39 AM , 112 ,3/14/2022 9:32:59 AM , 2 ,
