===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 19 ,3/15/2022 8:38:20 AM , 77 ,3/15/2022 8:38:40 AM , 103 ,3/15/2022 8:39:00 AM , 0 ,3/15/2022 8:39:20 AM , 38 ,3/15/2022 8:39:40 AM , 0 ,3/15/2022 8:40:00 AM , 0 ,3/15/2022 8:40:20 AM , 3 ,3/15/2022 8:40:40 AM , 22 ,3/15/2022 8:41:00 AM , 171 ,3/15/2022 8:41:20 AM , 212 ,3/15/2022 8:41:40 AM , 0 ,3/15/2022 8:42:00 AM , 5 ,3/15/2022 8:42:20 AM , 28 ,3/15/2022 8:42:40 AM , 74 ,3/15/2022 8:43:00 AM , 36 ,3/15/2022 8:43:20 AM , 15 ,
 20 ,3/15/2022 8:44:00 AM , 39 ,3/15/2022 8:44:20 AM , 31 ,3/15/2022 8:44:40 AM , 1 ,3/15/2022 8:45:00 AM , 123 ,3/15/2022 8:45:20 AM , 0 ,3/15/2022 8:45:40 AM , 0 ,3/15/2022 8:46:00 AM , 62 ,3/15/2022 8:46:20 AM , 52 ,3/15/2022 8:46:40 AM , 5 ,3/15/2022 8:47:00 AM , 116 ,3/15/2022 8:47:20 AM , 0 ,3/15/2022 8:47:40 AM , 17 ,3/15/2022 8:48:00 AM , 41 ,3/15/2022 8:48:20 AM , 16 ,3/15/2022 8:48:40 AM , 110 ,3/15/2022 8:49:00 AM , 7 ,
 21 ,3/15/2022 8:49:40 AM , 11 ,3/15/2022 8:50:00 AM , 96 ,3/15/2022 8:50:20 AM , 0 ,3/15/2022 8:50:40 AM , 64 ,3/15/2022 8:51:00 AM , 0 ,3/15/2022 8:51:20 AM , 23 ,3/15/2022 8:51:40 AM , 42 ,3/15/2022 8:52:00 AM , 46 ,3/15/2022 8:52:20 AM , 4 ,3/15/2022 8:52:40 AM , 115 ,3/15/2022 8:53:00 AM , 0 ,3/15/2022 8:53:20 AM , 15 ,3/15/2022 8:53:40 AM , 44 ,3/15/2022 8:54:00 AM , 127 ,3/15/2022 8:54:20 AM , 56 ,3/15/2022 8:54:40 AM , 174 ,
 22 ,3/15/2022 8:55:20 AM , 59 ,3/15/2022 8:55:40 AM , 42 ,3/15/2022 8:56:00 AM , 0 ,3/15/2022 8:56:20 AM , 53 ,3/15/2022 8:56:40 AM , 0 ,3/15/2022 8:57:00 AM , 82 ,3/15/2022 8:57:20 AM , 166 ,3/15/2022 8:57:40 AM , 35 ,3/15/2022 8:58:00 AM , 142 ,3/15/2022 8:58:20 AM , 1 ,3/15/2022 8:58:40 AM , 0 ,3/15/2022 8:59:00 AM , 82 ,3/15/2022 8:59:20 AM , 98 ,3/15/2022 8:59:40 AM , 0 ,3/15/2022 9:00:00 AM , 19 ,3/15/2022 9:00:20 AM , 31 ,
 23 ,3/15/2022 9:01:00 AM , 34 ,3/15/2022 9:01:20 AM , 18 ,3/15/2022 9:01:40 AM , 0 ,3/15/2022 9:02:00 AM , 10 ,3/15/2022 9:02:20 AM , 0 ,3/15/2022 9:02:40 AM , 75 ,3/15/2022 9:03:00 AM , 39 ,3/15/2022 9:03:20 AM , 7 ,3/15/2022 9:03:40 AM , 36 ,3/15/2022 9:04:00 AM , 104 ,3/15/2022 9:04:20 AM , 0 ,3/15/2022 9:04:40 AM , 2 ,3/15/2022 9:05:00 AM , 0 ,3/15/2022 9:05:20 AM , 100 ,3/15/2022 9:05:40 AM , 0 ,3/15/2022 9:06:00 AM , 0 ,
 24 ,3/15/2022 9:06:40 AM , 1 ,3/15/2022 9:07:00 AM , 0 ,3/15/2022 9:07:20 AM , 0 ,3/15/2022 9:07:40 AM , 18 ,3/15/2022 9:08:00 AM , 0 ,3/15/2022 9:08:20 AM , 0 ,3/15/2022 9:08:40 AM , 40 ,3/15/2022 9:09:00 AM , 3 ,3/15/2022 9:09:20 AM , 150 ,3/15/2022 9:09:40 AM , 63 ,3/15/2022 9:10:00 AM , 0 ,3/15/2022 9:10:20 AM , 0 ,3/15/2022 9:10:40 AM , 0 ,3/15/2022 9:11:00 AM , 65 ,3/15/2022 9:11:20 AM , 0 ,3/15/2022 9:11:40 AM , 0 ,
 25 ,3/15/2022 9:12:20 AM , 60 ,3/15/2022 9:12:40 AM , 5 ,3/15/2022 9:13:00 AM , 0 ,3/15/2022 9:13:20 AM , 18 ,3/15/2022 9:13:40 AM , 0 ,3/15/2022 9:14:00 AM , 109 ,3/15/2022 9:14:20 AM , 48 ,3/15/2022 9:14:40 AM , 4 ,3/15/2022 9:15:00 AM , 17 ,3/15/2022 9:15:20 AM , 70 ,3/15/2022 9:15:40 AM , 0 ,3/15/2022 9:16:00 AM , 0 ,3/15/2022 9:16:20 AM , 112 ,3/15/2022 9:16:40 AM , 22 ,3/15/2022 9:17:00 AM , 0 ,3/15/2022 9:17:20 AM , 0 ,
 26 ,3/15/2022 9:18:00 AM , 0 ,3/15/2022 9:18:20 AM , 0 ,3/15/2022 9:18:40 AM , 0 ,3/15/2022 9:19:00 AM , 116 ,3/15/2022 9:19:20 AM , 0 ,3/15/2022 9:19:40 AM , 82 ,3/15/2022 9:20:00 AM , 78 ,3/15/2022 9:20:20 AM , 9 ,3/15/2022 9:20:40 AM , 2 ,3/15/2022 9:21:00 AM , 88 ,3/15/2022 9:21:20 AM , 0 ,3/15/2022 9:21:40 AM , 0 ,3/15/2022 9:22:00 AM , 80 ,3/15/2022 9:22:20 AM , 0 ,3/15/2022 9:22:40 AM , 0 ,3/15/2022 9:23:00 AM , 0 ,
 27 ,3/15/2022 9:23:40 AM , 7 ,3/15/2022 9:24:00 AM , 0 ,3/15/2022 9:24:20 AM , 0 ,3/15/2022 9:24:40 AM , 63 ,3/15/2022 9:25:00 AM , 0 ,3/15/2022 9:25:20 AM , 25 ,3/15/2022 9:25:40 AM , 25 ,3/15/2022 9:26:00 AM , 0 ,3/15/2022 9:26:20 AM , 19 ,3/15/2022 9:26:40 AM , 68 ,3/15/2022 9:27:00 AM , 0 ,3/15/2022 9:27:20 AM , 0 ,3/15/2022 9:27:40 AM , 0 ,3/15/2022 9:28:00 AM , 0 ,3/15/2022 9:28:20 AM , 0 ,3/15/2022 9:28:40 AM , 0 ,
 28 ,3/15/2022 9:29:20 AM , 0 ,3/15/2022 9:29:40 AM , 0 ,3/15/2022 9:30:00 AM , 0 ,3/15/2022 9:30:20 AM , 6 ,3/15/2022 9:30:40 AM , 0 ,3/15/2022 9:31:00 AM , 4 ,3/15/2022 9:31:20 AM , 59 ,3/15/2022 9:31:40 AM , 0 ,3/15/2022 9:32:00 AM , 71 ,3/15/2022 9:32:20 AM , 0 ,3/15/2022 9:32:40 AM , 0 ,3/15/2022 9:33:00 AM , 0 ,3/15/2022 9:33:20 AM , 136 ,3/15/2022 9:33:40 AM , 0 ,3/15/2022 9:34:00 AM , 0 ,3/15/2022 9:34:20 AM , 0 ,
