===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 21 ,3/15/2022 8:49:40 AM , 20.75945 ,3/15/2022 8:50:00 AM , 20.77152 ,3/15/2022 8:50:20 AM , 20.75996 ,3/15/2022 8:50:40 AM , 20.75748 ,3/15/2022 8:51:00 AM , 20.8078 ,3/15/2022 8:51:20 AM , 20.79841 ,3/15/2022 8:51:40 AM , 20.75054 ,3/15/2022 8:52:00 AM , 20.72718 ,3/15/2022 8:52:20 AM , 20.77783 ,3/15/2022 8:52:40 AM , 20.76797 ,3/15/2022 8:53:00 AM , 20.83362 ,3/15/2022 8:53:20 AM , 20.7817 ,3/15/2022 8:53:40 AM , 20.76794 ,3/15/2022 8:54:00 AM , 20.78383 ,3/15/2022 8:54:20 AM , 20.79271 ,3/15/2022 8:54:40 AM , 20.7711 ,
 22 ,3/15/2022 8:55:20 AM , 20.76145 ,3/15/2022 8:55:40 AM , 20.77184 ,3/15/2022 8:56:00 AM , 20.77475 ,3/15/2022 8:56:20 AM , 20.75945 ,3/15/2022 8:56:40 AM , 20.81859 ,3/15/2022 8:57:00 AM , 20.78557 ,3/15/2022 8:57:20 AM , 20.74103 ,3/15/2022 8:57:40 AM , 20.73056 ,3/15/2022 8:58:00 AM , 20.77794 ,3/15/2022 8:58:20 AM , 20.77337 ,3/15/2022 8:58:40 AM , 20.83982 ,3/15/2022 8:59:00 AM , 20.78073 ,3/15/2022 8:59:20 AM , 20.76542 ,3/15/2022 8:59:40 AM , 20.79036 ,3/15/2022 9:00:00 AM , 20.79461 ,3/15/2022 9:00:20 AM , 20.7776 ,
 23 ,3/15/2022 9:01:00 AM , 20.76019 ,3/15/2022 9:01:20 AM , 20.77797 ,3/15/2022 9:01:40 AM , 20.79615 ,3/15/2022 9:02:00 AM , 20.76371 ,3/15/2022 9:02:20 AM , 20.82393 ,3/15/2022 9:02:40 AM , 20.78192 ,3/15/2022 9:03:00 AM , 20.74921 ,3/15/2022 9:03:20 AM , 20.73626 ,3/15/2022 9:03:40 AM , 20.78238 ,3/15/2022 9:04:00 AM , 20.776 ,3/15/2022 9:04:20 AM , 20.84399 ,3/15/2022 9:04:40 AM , 20.77884 ,3/15/2022 9:05:00 AM , 20.77161 ,3/15/2022 9:05:20 AM , 20.79186 ,3/15/2022 9:05:40 AM , 20.80524 ,3/15/2022 9:06:00 AM , 20.78583 ,
 24 ,3/15/2022 9:06:40 AM , 20.7689 ,3/15/2022 9:07:00 AM , 20.78062 ,3/15/2022 9:07:20 AM , 20.80924 ,3/15/2022 9:07:40 AM , 20.77242 ,3/15/2022 9:08:00 AM , 20.82888 ,3/15/2022 9:08:20 AM , 20.7833 ,3/15/2022 9:08:40 AM , 20.75219 ,3/15/2022 9:09:00 AM , 20.74534 ,3/15/2022 9:09:20 AM , 20.77607 ,3/15/2022 9:09:40 AM , 20.78039 ,3/15/2022 9:10:00 AM , 20.84516 ,3/15/2022 9:10:20 AM , 20.78762 ,3/15/2022 9:10:40 AM , 20.77837 ,3/15/2022 9:11:00 AM , 20.79243 ,3/15/2022 9:11:20 AM , 20.82561 ,3/15/2022 9:11:40 AM , 20.81045 ,
 25 ,3/15/2022 9:12:20 AM , 20.76975 ,3/15/2022 9:12:40 AM , 20.78443 ,3/15/2022 9:13:00 AM , 20.81767 ,3/15/2022 9:13:20 AM , 20.77542 ,3/15/2022 9:13:40 AM , 20.82855 ,3/15/2022 9:14:00 AM , 20.77003 ,3/15/2022 9:14:20 AM , 20.74812 ,3/15/2022 9:14:40 AM , 20.74512 ,3/15/2022 9:15:00 AM , 20.776 ,3/15/2022 9:15:20 AM , 20.78017 ,3/15/2022 9:15:40 AM , 20.84502 ,3/15/2022 9:16:00 AM , 20.79521 ,3/15/2022 9:16:20 AM , 20.76712 ,3/15/2022 9:16:40 AM , 20.79813 ,3/15/2022 9:17:00 AM , 20.8341 ,3/15/2022 9:17:20 AM , 20.8236 ,
 26 ,3/15/2022 9:18:00 AM , 20.77757 ,3/15/2022 9:18:20 AM , 20.78358 ,3/15/2022 9:18:40 AM , 20.82038 ,3/15/2022 9:19:00 AM , 20.76789 ,3/15/2022 9:19:20 AM , 20.828 ,3/15/2022 9:19:40 AM , 20.76586 ,3/15/2022 9:20:00 AM , 20.75085 ,3/15/2022 9:20:20 AM , 20.74694 ,3/15/2022 9:20:40 AM , 20.78184 ,3/15/2022 9:21:00 AM , 20.78048 ,3/15/2022 9:21:20 AM , 20.84692 ,3/15/2022 9:21:40 AM , 20.80744 ,3/15/2022 9:22:00 AM , 20.75886 ,3/15/2022 9:22:20 AM , 20.81274 ,3/15/2022 9:22:40 AM , 20.84108 ,3/15/2022 9:23:00 AM , 20.83335 ,
 27 ,3/15/2022 9:23:40 AM , 20.77934 ,3/15/2022 9:24:00 AM , 20.80738 ,3/15/2022 9:24:20 AM , 20.82513 ,3/15/2022 9:24:40 AM , 20.76745 ,3/15/2022 9:25:00 AM , 20.83154 ,3/15/2022 9:25:20 AM , 20.77361 ,3/15/2022 9:25:40 AM , 20.75502 ,3/15/2022 9:26:00 AM , 20.76042 ,3/15/2022 9:26:20 AM , 20.78666 ,3/15/2022 9:26:40 AM , 20.78636 ,3/15/2022 9:27:00 AM , 20.84839 ,3/15/2022 9:27:20 AM , 20.82384 ,3/15/2022 9:27:40 AM , 20.77067 ,3/15/2022 9:28:00 AM , 20.82912 ,3/15/2022 9:28:20 AM , 20.84786 ,3/15/2022 9:28:40 AM , 20.83991 ,
 28 ,3/15/2022 9:29:20 AM , 20.78184 ,3/15/2022 9:29:40 AM , 20.8221 ,3/15/2022 9:30:00 AM , 20.82768 ,3/15/2022 9:30:20 AM , 20.7698 ,3/15/2022 9:30:40 AM , 20.83368 ,3/15/2022 9:31:00 AM , 20.77797 ,3/15/2022 9:31:20 AM , 20.75574 ,3/15/2022 9:31:40 AM , 20.78501 ,3/15/2022 9:32:00 AM , 20.7845 ,3/15/2022 9:32:20 AM , 20.78568 ,3/15/2022 9:32:40 AM , 20.84958 ,3/15/2022 9:33:00 AM , 20.83248 ,3/15/2022 9:33:20 AM , 20.773 ,3/15/2022 9:33:40 AM , 20.8351 ,3/15/2022 9:34:00 AM , 20.8504 ,3/15/2022 9:34:20 AM , 20.84205 ,
 29 ,3/15/2022 9:35:00 AM , 20.8022 ,3/15/2022 9:35:20 AM , 20.83324 ,3/15/2022 9:35:40 AM , 20.81057 ,3/15/2022 9:36:00 AM , 20.77251 ,3/15/2022 9:36:20 AM , 20.82931 ,3/15/2022 9:36:40 AM , 20.78058 ,3/15/2022 9:37:00 AM , 20.75558 ,3/15/2022 9:37:20 AM , 20.80525 ,3/15/2022 9:37:40 AM , 20.7866 ,3/15/2022 9:38:00 AM , 20.79052 ,3/15/2022 9:38:20 AM , 20.8466 ,3/15/2022 9:38:40 AM , 20.8366 ,3/15/2022 9:39:00 AM , 20.7725 ,3/15/2022 9:39:20 AM , 20.8405 ,3/15/2022 9:39:40 AM , 20.85033 ,3/15/2022 9:40:00 AM , 20.84323 ,
 30 ,3/15/2022 9:40:40 AM , 20.80849 ,3/15/2022 9:41:00 AM , 20.83866 ,3/15/2022 9:41:20 AM , 20.81059 ,3/15/2022 9:41:40 AM , 20.7733 ,3/15/2022 9:42:00 AM , 20.80888 ,3/15/2022 9:42:20 AM , 20.80022 ,3/15/2022 9:42:40 AM , 20.76146 ,3/15/2022 9:43:00 AM , 20.81725 ,3/15/2022 9:43:20 AM , 20.78778 ,3/15/2022 9:43:40 AM , 20.80378 ,3/15/2022 9:44:00 AM , 20.8501 ,3/15/2022 9:44:20 AM , 20.83904 ,3/15/2022 9:44:40 AM , 20.78022 ,3/15/2022 9:45:00 AM , 20.84168 ,3/15/2022 9:45:20 AM , 20.85109 ,3/15/2022 9:45:40 AM , 20.84544 ,
