===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 19 ,3/15/2022 8:38:20 AM , 0.1187268 ,3/15/2022 8:38:40 AM , 0.163853 ,3/15/2022 8:39:00 AM , 0.1843194 ,3/15/2022 8:39:20 AM , 0.1378013 ,3/15/2022 8:39:40 AM , 0.1729009 ,3/15/2022 8:40:00 AM , 0.1635238 ,3/15/2022 8:40:20 AM , 0.1784285 ,3/15/2022 8:40:40 AM , 0.1980632 ,3/15/2022 8:41:00 AM , 0.1431887 ,3/15/2022 8:41:20 AM , 0.1438213 ,3/15/2022 8:41:40 AM , 0.1204983 ,3/15/2022 8:42:00 AM , 0.1412533 ,3/15/2022 8:42:20 AM , 0.1433881 ,3/15/2022 8:42:40 AM , 0.1343147 ,3/15/2022 8:43:00 AM , 0.1269401 ,3/15/2022 8:43:20 AM , 0.1441544 ,
 20 ,3/15/2022 8:44:00 AM , 0.1270436 ,3/15/2022 8:44:20 AM , 0.1709911 ,3/15/2022 8:44:40 AM , 0.1923419 ,3/15/2022 8:45:00 AM , 0.1459011 ,3/15/2022 8:45:20 AM , 0.1794623 ,3/15/2022 8:45:40 AM , 0.1684671 ,3/15/2022 8:46:00 AM , 0.1867899 ,3/15/2022 8:46:20 AM , 0.2078443 ,3/15/2022 8:46:40 AM , 0.1505793 ,3/15/2022 8:47:00 AM , 0.1511413 ,3/15/2022 8:47:20 AM , 0.1252239 ,3/15/2022 8:47:40 AM , 0.1480242 ,3/15/2022 8:48:00 AM , 0.1507872 ,3/15/2022 8:48:20 AM , 0.140822 ,3/15/2022 8:48:40 AM , 0.133037 ,3/15/2022 8:49:00 AM , 0.1511168 ,
 21 ,3/15/2022 8:49:40 AM , 0.1350864 ,3/15/2022 8:50:00 AM , 0.1781446 ,3/15/2022 8:50:20 AM , 0.2001889 ,3/15/2022 8:50:40 AM , 0.1539125 ,3/15/2022 8:51:00 AM , 0.1850685 ,3/15/2022 8:51:20 AM , 0.1735918 ,3/15/2022 8:51:40 AM , 0.1950374 ,3/15/2022 8:52:00 AM , 0.2175051 ,3/15/2022 8:52:20 AM , 0.1575356 ,3/15/2022 8:52:40 AM , 0.1584312 ,3/15/2022 8:53:00 AM , 0.1292572 ,3/15/2022 8:53:20 AM , 0.1547471 ,3/15/2022 8:53:40 AM , 0.1580618 ,3/15/2022 8:54:00 AM , 0.147247 ,3/15/2022 8:54:20 AM , 0.1390338 ,3/15/2022 8:54:40 AM , 0.1580825 ,
 22 ,3/15/2022 8:55:20 AM , 0.1429422 ,3/15/2022 8:55:40 AM , 0.1852719 ,3/15/2022 8:56:00 AM , 0.2076657 ,3/15/2022 8:56:20 AM , 0.161725 ,3/15/2022 8:56:40 AM , 0.1899696 ,3/15/2022 8:57:00 AM , 0.1796633 ,3/15/2022 8:57:20 AM , 0.2036184 ,3/15/2022 8:57:40 AM , 0.2270385 ,3/15/2022 8:58:00 AM , 0.1643605 ,3/15/2022 8:58:20 AM , 0.1655588 ,3/15/2022 8:58:40 AM , 0.1328445 ,3/15/2022 8:59:00 AM , 0.1614453 ,3/15/2022 8:59:20 AM , 0.1654372 ,3/15/2022 8:59:40 AM , 0.1535956 ,3/15/2022 9:00:00 AM , 0.1449285 ,3/15/2022 9:00:20 AM , 0.1651198 ,
 23 ,3/15/2022 9:01:00 AM , 0.1508089 ,3/15/2022 9:01:20 AM , 0.1922329 ,3/15/2022 9:01:40 AM , 0.21415 ,3/15/2022 9:02:00 AM , 0.1693313 ,3/15/2022 9:02:20 AM , 0.1944268 ,3/15/2022 9:02:40 AM , 0.1861978 ,3/15/2022 9:03:00 AM , 0.2122441 ,3/15/2022 9:03:20 AM , 0.2363782 ,3/15/2022 9:03:40 AM , 0.1710487 ,3/15/2022 9:04:00 AM , 0.1724621 ,3/15/2022 9:04:20 AM , 0.1361521 ,3/15/2022 9:04:40 AM , 0.1682281 ,3/15/2022 9:05:00 AM , 0.1727165 ,3/15/2022 9:05:20 AM , 0.1597207 ,3/15/2022 9:05:40 AM , 0.1504895 ,3/15/2022 9:06:00 AM , 0.1717734 ,
 24 ,3/15/2022 9:06:40 AM , 0.1584869 ,3/15/2022 9:07:00 AM , 0.1989753 ,3/15/2022 9:07:20 AM , 0.2196836 ,3/15/2022 9:07:40 AM , 0.1765694 ,3/15/2022 9:08:00 AM , 0.1985979 ,3/15/2022 9:08:20 AM , 0.192782 ,3/15/2022 9:08:40 AM , 0.2205245 ,3/15/2022 9:09:00 AM , 0.2452563 ,3/15/2022 9:09:20 AM , 0.1777605 ,3/15/2022 9:09:40 AM , 0.1791308 ,3/15/2022 9:10:00 AM , 0.1393156 ,3/15/2022 9:10:20 AM , 0.1748166 ,3/15/2022 9:10:40 AM , 0.1796329 ,3/15/2022 9:11:00 AM , 0.1657725 ,3/15/2022 9:11:20 AM , 0.1551994 ,3/15/2022 9:11:40 AM , 0.1775308 ,
 25 ,3/15/2022 9:12:20 AM , 0.1659061 ,3/15/2022 9:12:40 AM , 0.2055414 ,3/15/2022 9:13:00 AM , 0.2246074 ,3/15/2022 9:13:20 AM , 0.1835105 ,3/15/2022 9:13:40 AM , 0.2026374 ,3/15/2022 9:14:00 AM , 0.1996538 ,3/15/2022 9:14:20 AM , 0.2288105 ,3/15/2022 9:14:40 AM , 0.2538273 ,3/15/2022 9:15:00 AM , 0.1846449 ,3/15/2022 9:15:20 AM , 0.1856917 ,3/15/2022 9:15:40 AM , 0.1424613 ,3/15/2022 9:16:00 AM , 0.1809489 ,3/15/2022 9:16:20 AM , 0.186656 ,3/15/2022 9:16:40 AM , 0.1716734 ,3/15/2022 9:17:00 AM , 0.159154 ,3/15/2022 9:17:20 AM , 0.1822757 ,
 26 ,3/15/2022 9:18:00 AM , 0.1730961 ,3/15/2022 9:18:20 AM , 0.2120494 ,3/15/2022 9:18:40 AM , 0.2292414 ,3/15/2022 9:19:00 AM , 0.1906158 ,3/15/2022 9:19:20 AM , 0.2067194 ,3/15/2022 9:19:40 AM , 0.2070199 ,3/15/2022 9:20:00 AM , 0.237161 ,3/15/2022 9:20:20 AM , 0.2623731 ,3/15/2022 9:20:40 AM , 0.191402 ,3/15/2022 9:21:00 AM , 0.1922967 ,3/15/2022 9:21:20 AM , 0.14555 ,3/15/2022 9:21:40 AM , 0.1865573 ,3/15/2022 9:22:00 AM , 0.1941901 ,3/15/2022 9:22:20 AM , 0.1770484 ,3/15/2022 9:22:40 AM , 0.162718 ,3/15/2022 9:23:00 AM , 0.1864117 ,
 27 ,3/15/2022 9:23:40 AM , 0.1800316 ,3/15/2022 9:24:00 AM , 0.2179343 ,3/15/2022 9:24:20 AM , 0.2336771 ,3/15/2022 9:24:40 AM , 0.1979447 ,3/15/2022 9:25:00 AM , 0.2107341 ,3/15/2022 9:25:20 AM , 0.2143108 ,3/15/2022 9:25:40 AM , 0.2453126 ,3/15/2022 9:26:00 AM , 0.2704937 ,3/15/2022 9:26:20 AM , 0.1978617 ,3/15/2022 9:26:40 AM , 0.1987348 ,3/15/2022 9:27:00 AM , 0.1485394 ,3/15/2022 9:27:20 AM , 0.1913903 ,3/15/2022 9:27:40 AM , 0.2016305 ,3/15/2022 9:28:00 AM , 0.1815509 ,3/15/2022 9:28:20 AM , 0.1658908 ,3/15/2022 9:28:40 AM , 0.1900849 ,
 28 ,3/15/2022 9:29:20 AM , 0.1868373 ,3/15/2022 9:29:40 AM , 0.2227629 ,3/15/2022 9:30:00 AM , 0.2378953 ,3/15/2022 9:30:20 AM , 0.2052264 ,3/15/2022 9:30:40 AM , 0.2145749 ,3/15/2022 9:31:00 AM , 0.2212543 ,3/15/2022 9:31:20 AM , 0.2533001 ,3/15/2022 9:31:40 AM , 0.27756 ,3/15/2022 9:32:00 AM , 0.2042414 ,3/15/2022 9:32:20 AM , 0.2050132 ,3/15/2022 9:32:40 AM , 0.1514481 ,3/15/2022 9:33:00 AM , 0.1955274 ,3/15/2022 9:33:20 AM , 0.2086869 ,3/15/2022 9:33:40 AM , 0.18543 ,3/15/2022 9:34:00 AM , 0.1687986 ,3/15/2022 9:34:20 AM , 0.1935047 ,
