"","Interval_num","Adaptive.EE","Ambulatory.EE","ThermicEffect.EE","RMR.EE"
"90","261",4.96236007035352,1.28923573276728,0,7.14840419687919
"91","262",4.18246933071192,2.43701294812118,0,7.2805177211669
"92","263",3.28010838476712,1.70800728834266,0,7.51188432689022
"93","264",4.7525517738313,1.02218998744302,0,7.12525823872569
"94","265",5.38271550668155,0.770844073268626,0,7.04644042004982
"95","266",4.87185605435404,1.18729525925126,0,7.1408486863947
"96","267",6.006339632262,4.04456414518504,0,7.44909622255296
"97","268",4.58782120862416,7.54965324664849,4.04109638507769,6.18836892558202
"98","269",6.76053298660369,9.49205586184386,0,5.54741115155245
"99","270",9.24927428345991,4.50119484364215,0,6.84953087289794
"100","271",11.8525517738313,1.58479067820622,0,6.56265754796248
"101","272",7.55996584990497,3.46180329073729,0,7.07823085935775
"102","273",6.6885903543458,1.52519242913485,0,6.98621721651935
